DATE_TIME,LATITUDE,LONGITUDE,GEOHASH,MINIMUM_SPEED,MAXIMUM_SPEED,AVERAGE_SPEED,NUMBER_OF_VEHICLES,WEATHER,IS_HOLIDAY,IS_PEAK_HOUR,IS_WEEKEND,SEASON
2024-09-01 02:00:00,41.0311889648438,28.4490966796875,sxk1rm,34.0,106.0,65.0,11.0,Rainy,0.0,0.0,1.0,Winter
2024-12-01 01:00:00,40.8279418945313,29.3280029296875,sxkb72,16.0,89.0,51.0,33.0,Snowy,0.0,0.0,,
2024-09-01 01:00:00,40.8883666992188,29.2620849609375,sxkb9g,13.0,69.0,42.0,41.0,Sunny,0.0,0.0,1.0,Winter
2024-08-01 02:00:00,40.9817504882813,28.8006591796875,sxk3pk,14.0,79.0,57.0,10.0,Snowy,0.0,0.0,1.0,Winter
2024-12-01 00:00:00,41.0311889648438,,sxk9rt,5.0,97.0,,137.0,Rainy,,,1.0,
2024-08-01 00:00:00,41.1685180664063,28.4710693359375,sxk4py,25.0,129.0,75.0,29.0,Rainy,0.0,0.0,1.0,Winter
2024-10-01 00:00:00,40.9982299804688,29.1082763671875,sxk9nr,10.0,145.0,66.0,151.0,Snowy,0.0,0.0,1.0,Winter
2024-04-01 00:00:00,41.2069702148438,29.0313720703125,sxkdkt,75.0,65.0,,2.0,Cloudy,,0.0,1.0,Winter
2024-02-01 02:00:00,41.0586547851563,28.6578369140625,sxk3s4,9.0,156.0,76.0,46.0,Snowy,0.0,,1.0,Winter
2024-11-01 01:00:00,,29.0753173828125,sxk9jw,6.0,118.0,60.0,201.0,Cloudy,1.0,0.0,1.0,Winter
2024-05-01 00:00:00,40.9323120117188,29.1302490234375,sxk8yg,,71.0,34.0,49.0,Snowy,0.0,0.0,1.0,Winter
2024-03-01 01:00:00,,,,5.0,87.0,39.0,40.0,Snowy,0.0,0.0,1.0,Winter
2024-03-01 00:00:00,41.0641479492188,28.3721923828125,,30.0,80.0,47.0,8.0,Sunny,0.0,0.0,1.0,Winter
2024-10-01 02:00:00,41.0256958007813,29.0533447265625,,17.0,89.0,53.0,42.0,Sunny,1.0,0.0,,Winter
2024-01-01 00:00:00,,28.9105224609375,sxk99c,3.0,79.0,26.0,74.0,Sunny,1.0,,1.0,Winter
2024-11-01 02:00:00,40.9872436523438,28.8885498046875,sxk91m,,99.0,39.0,29.0,Cloudy,0.0,0.0,1.0,Winter
2024-10-01 02:00:00,41.1795043945313,28.8226318359375,sxk6rb,63.0,113.0,88.0,4.0,,1.0,,1.0,Winter
2024-02-01 01:00:00,41.0037231445313,28.7017822265625,sxk3m0,5.0,,32.0,,Rainy,0.0,0.0,1.0,Winter
2024-11-01 02:00:00,41.0476684570313,29.2840576171875,sxkcd2,,54.0,48.0,,Cloudy,0.0,0.0,1.0,Winter
2024-09-01 01:00:00,41.0476684570313,29.2071533203125,sxkc88,77.0,110.0,97.0,16.0,Rainy,0.0,0.0,1.0,Winter
2024-06-01 02:00:00,41.0861206054688,28.9105224609375,,9.0,90.0,43.0,,Cloudy,0.0,0.0,1.0,Winter
2024-09-01 01:00:00,40.8828735351563,29.1961669921875,sxkb86,12.0,100.0,51.0,45.0,Rainy,,0.0,1.0,Winter
2024-10-01 00:00:00,41.2289428710938,28.5260009765625,sxk691,48.0,132.0,94.0,5.0,Snowy,0.0,0.0,,Winter
2024-05-01 01:00:00,41.0092163085938,29.0753173828125,sxk9m9,5.0,131.0,42.0,96.0,Snowy,0.0,0.0,1.0,Winter
2024-05-01 02:00:00,41.0421752929688,29.0753173828125,sxk9mx,6.0,83.0,36.0,11.0,Cloudy,0.0,0.0,1.0,Winter
2024-01-01 01:00:00,,28.7786865234375,sxk3nu,6.0,52.0,33.0,11.0,Cloudy,0.0,0.0,1.0,Winter
2024-07-01 00:00:00,40.8334350585938,29.3280029296875,sxkb73,9.0,135.0,66.0,267.0,Cloudy,0.0,0.0,1.0,Winter
2024-02-01 00:00:00,41.1959838867188,29.1851806640625,sxkf25,66.0,113.0,88.0,51.0,Rainy,,0.0,1.0,Winter
2024-04-01 00:00:00,40.8993530273438,29.1961669921875,,6.0,44.0,25.0,23.0,Sunny,0.0,0.0,,Winter
2024-01-01 01:00:00,40.9762573242188,28.8555908203125,sxk90e,9.0,,55.0,40.0,Rainy,0.0,0.0,1.0,Winter
2024-06-01 02:00:00,41.0751342773438,28.2733154296875,sxk1em,29.0,93.0,53.0,22.0,Snowy,0.0,0.0,1.0,Winter
2024-11-01 00:00:00,41.0147094726563,28.8226318359375,sxk3rf,4.0,64.0,30.0,94.0,Rainy,0.0,0.0,1.0,Winter
2024-08-01 01:00:00,40.8993530273438,29.1851806640625,sxkb8j,6.0,,29.0,31.0,Rainy,0.0,0.0,1.0,Winter
2024-10-01 02:00:00,41.1355590820313,28.6248779296875,sxk652,58.0,110.0,84.0,,Cloudy,0.0,0.0,1.0,Winter
2024-11-01 01:00:00,41.0696411132813,29.0423583984375,sxk9su,,,,27.0,Snowy,0.0,0.0,1.0,Winter
2024-01-01 01:00:00,41.1575317382813,28.8995361328125,sxkd1s,48.0,,76.0,92.0,Sunny,0.0,0.0,,Winter
2024-11-01 02:00:00,41.1080932617188,28.9874267578125,sxk9ge,9.0,81.0,46.0,42.0,Rainy,0.0,0.0,1.0,Winter
2024-09-01 00:00:00,41.1795043945313,,sxkd30,6.0,154.0,85.0,119.0,Cloudy,0.0,,1.0,Winter
2024-07-01 00:00:00,40.9597778320313,29.3389892578125,sxkc58,420.0,1090.0,80.0,40.0,,0.0,0.0,1.0,Winter
2024-02-01 02:00:00,40.9378051757813,29.4158935546875,sxkbvk,33.0,33.0,,1.0,Sunny,,0.0,1.0,Winter
2024-04-01 01:00:00,41.0256958007813,28.8665771484375,sxk92u,4.0,58.0,25.0,35.0,Cloudy,0.0,0.0,1.0,
2024-01-01 00:00:00,41.0092163085938,28.9215087890625,sxk961,9.0,100.0,49.0,41.0,Rainy,1.0,0.0,1.0,Winter
2024-01-01 01:00:00,41.2014770507813,29.1192626953125,sxkdqs,,146.0,,100.0,Cloudy,0.0,0.0,1.0,
2024-06-01 01:00:00,41.2673950195313,28.0316162109375,sx7fvb,39.0,119.0,76.0,9.0,Snowy,0.0,0.0,1.0,Winter
2024-07-01 01:00:00,41.1575317382813,,sxk4pk,11.0,36.0,23.0,2.0,Rainy,1.0,0.0,1.0,Winter
2024-08-01 01:00:00,40.9048461914063,,,92.0,82.0,60.0,11.0,Snowy,0.0,0.0,1.0,Winter
2024-07-01 00:00:00,40.9597778320313,29.0972900390625,sxk9n0,,60.0,25.0,,Snowy,0.0,0.0,1.0,Winter
2024-06-01 00:00:00,41.0311889648438,,sxk3qt,,,42.0,70.0,Sunny,0.0,0.0,1.0,
2024-07-01 01:00:00,,29.0423583984375,sxk9uc,31.0,55.0,,6.0,Sunny,0.0,0.0,1.0,Winter
2024-11-01 01:00:00,41.1026000976563,29.0972900390625,sxk9y4,34.0,118.0,75.0,29.0,Rainy,0.0,0.0,1.0,
2024-05-01 01:00:00,40.9762573242188,29.2291259765625,,21.0,152.0,91.0,178.0,Cloudy,0.0,0.0,1.0,Winter
2024-10-01 02:00:00,41.2728881835938,28.6138916015625,sxk6g1,83.0,90.0,86.0,2.0,Cloudy,0.0,0.0,1.0,Winter
2024-06-01 00:00:00,41.0971069335938,28.9215087890625,sxk9f1,4.0,,55.0,266.0,Snowy,0.0,0.0,1.0,Winter
2024-11-01 02:00:00,,,sxkdm0,54.0,44.0,32.0,5.0,Rainy,0.0,0.0,1.0,Winter
2024-07-01 01:00:00,41.1410522460938,29.4598388671875,sxkfn3,65.0,101.0,80.0,3.0,,0.0,0.0,1.0,Winter
2024-06-01 00:00:00,40.8224487304688,,sxkb5r,93.0,83.0,,,Snowy,0.0,0.0,1.0,
2024-09-01 00:00:00,41.0916137695313,,sxk1fb,9.0,84.0,46.0,22.0,Snowy,0.0,0.0,1.0,Winter
2024-08-01 02:00:00,41.0311889648438,29.0863037109375,,1.0,113.0,45.0,41.0,Rainy,0.0,0.0,,Winter
2024-10-01 00:00:00,41.1685180664063,28.4161376953125,sxk4nw,79.0,79.0,79.0,1.0,Rainy,0.0,0.0,1.0,Winter
2024-12-01 01:00:00,41.1355590820313,,sxk442,73.0,143.0,,7.0,Cloudy,0.0,0.0,,Winter
2024-02-01 00:00:00,41.0476684570313,28.7567138671875,sxk3w2,15.0,106.0,64.0,39.0,,0.0,,1.0,Winter
2024-04-01 00:00:00,41.0641479492188,28.6907958984375,sxk3sg,14.0,63.0,32.0,14.0,Cloudy,0.0,0.0,1.0,
2024-07-01 01:00:00,41.0202026367188,28.5699462890625,sxk365,30.0,125.0,71.0,59.0,,0.0,0.0,1.0,Winter
2024-09-01 01:00:00,41.0147094726563,27.9876708984375,sx7ckf,56.0,,80.0,26.0,Cloudy,0.0,0.0,1.0,Winter
2024-08-01 02:00:00,41.1465454101563,29.0533447265625,sxkdj4,5.0,72.0,37.0,10.0,Cloudy,0.0,,1.0,Winter
2024-05-01 02:00:00,,29.0533447265625,sxk9t4,8.0,64.0,33.0,11.0,Rainy,0.0,,1.0,Winter
2024-09-01 01:00:00,41.0476684570313,29.1082763671875,sxk9w2,12.0,49.0,30.0,8.0,Cloudy,0.0,0.0,1.0,Winter
2024-04-01 01:00:00,41.0531616210938,28.9764404296875,sxk9e3,3.0,77.0,25.0,54.0,Cloudy,0.0,,,Winter
2024-08-01 00:00:00,41.0696411132813,28.7567138671875,sxk3wk,10.0,,27.0,31.0,Cloudy,0.0,0.0,1.0,Winter
2024-06-01 00:00:00,41.0641479492188,28.6798095703125,,4.0,80.0,,43.0,Snowy,0.0,,1.0,Winter
2024-09-01 00:00:00,41.2564086914063,28.6907958984375,sxk6sy,,132.0,85.0,95.0,Sunny,0.0,0.0,1.0,
2024-12-01 02:00:00,41.1795043945313,29.2291259765625,sxkf30,62.0,,95.0,24.0,Sunny,,0.0,1.0,Winter
2024-02-01 01:00:00,41.2344360351563,28.8775634765625,,53.0,165.0,94.0,89.0,Sunny,0.0,,1.0,Winter
2024-01-01 00:00:00,40.9268188476563,29.1632080078125,sxk8zd,55.0,45.0,27.0,22.0,Sunny,0.0,0.0,1.0,Winter
2024-07-01 02:00:00,41.2344360351563,28.8555908203125,sxkd8d,,106.0,,10.0,Cloudy,0.0,0.0,1.0,Winter
2024-04-01 00:00:00,41.2948608398438,28.0096435546875,sx7fvm,61.0,115.0,82.0,,Sunny,0.0,0.0,1.0,Winter
2024-11-01 01:00:00,41.1630249023438,29.5697021484375,sxm40v,50.0,103.0,76.0,3.0,Sunny,1.0,0.0,1.0,
2024-07-01 00:00:00,40.9817504882813,29.0643310546875,sxk9jk,72.0,62.0,32.0,,Snowy,0.0,0.0,1.0,Winter
2024-01-01 00:00:00,41.0476684570313,29.0643310546875,sxk9t2,6.0,47.0,26.0,14.0,Rainy,,0.0,1.0,Winter
2024-07-01 01:00:00,41.2014770507813,28.0755615234375,sx7fqu,12.0,122.0,69.0,26.0,Sunny,0.0,0.0,1.0,Winter
2024-11-01 01:00:00,40.9707641601563,28.7237548828125,sxk3jd,3.0,50.0,24.0,15.0,,0.0,0.0,1.0,Winter
2024-08-01 00:00:00,41.0971069335938,28.6138916015625,sxk3g1,52.0,150.0,,18.0,Cloudy,0.0,0.0,,Winter
2024-03-01 01:00:00,41.1520385742188,28.7896728515625,sxk6p5,9.0,,60.0,36.0,Cloudy,1.0,0.0,,Winter
2024-07-01 02:00:00,40.9158325195313,29.1961669921875,,5.0,,35.0,17.0,Rainy,0.0,0.0,1.0,
2024-07-01 01:00:00,41.0311889648438,,sxk9mm,6.0,69.0,30.0,13.0,Snowy,1.0,0.0,1.0,Winter
2024-12-01 02:00:00,41.3113403320313,27.9986572265625,sx7gj0,18.0,111.0,67.0,6.0,Snowy,0.0,0.0,1.0,Winter
2024-06-01 02:00:00,41.1465454101563,28.3172607421875,sxk4h6,54.0,127.0,84.0,19.0,Snowy,0.0,0.0,1.0,Winter
2024-07-01 02:00:00,41.2509155273438,28.5699462890625,sxk6dj,93.0,109.0,100.0,3.0,Sunny,0.0,0.0,1.0,Winter
2024-05-01 02:00:00,40.9762573242188,28.8885498046875,sxk917,113.0,103.0,51.0,41.0,Sunny,0.0,0.0,1.0,
